test_day,gain_value,loss_value_scams,total_loss,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg,bank_A_gain,bank_B_gain,bank_C_gain,bank_D_gain,bank_E_gain,bank_A_loss_scams,bank_B_loss_scams,bank_C_loss_scams,bank_D_loss_scams,bank_E_loss_scams,bank_A_loss_scams_ext,bank_B_loss_scams_ext,bank_C_loss_scams_ext,bank_D_loss_scams_ext,bank_E_loss_scams_ext
305.0,1586.6499999999999,10982.050000000003,50892.05,1.0,1.0,2.0,1.0,5.0,3.0,4.0,0.0,199.0,110.0,326.0,2.0,582.0,161.0,355.0,11.0,249.35,89.6,163.9,0.0,1083.8,40.4,10355.35,183.0,207.35,195.95000000000002,9240.4,18865.35,7643.0,6677.35,8465.95
306.0,6137.0,659.4,7999.4,2.0,1.0,2.0,2.0,6.0,0.0,1.0,0.0,198.0,98.0,9.0,0.0,546.0,170.0,173.0,19.0,2881.75,2583.8,0.0,0.0,671.45,349.55,84.75,47.45,41.55,136.1,1849.55,1754.75,1467.45,1371.55,1556.1
307.0,1500.0,897.05,3857.05,0.0,0.0,0.0,1.0,7.0,2.0,1.0,1.0,70.0,76.0,20.0,1.0,695.0,197.0,134.0,10.0,0.0,0.0,0.0,1500.0,0.0,191.1,262.34999999999997,102.2,218.8,122.6,921.1,1032.35,502.2,748.8,652.6
308.0,2924.1,597.05,1297.05,1.0,0.0,2.0,0.0,5.0,2.0,1.0,0.0,65.0,51.0,10.0,2.0,522.0,141.0,146.0,10.0,1283.85,0.0,1600.0,40.25,0.0,0.0,106.80000000000001,0.0,153.2,337.05,100.0,206.8,100.0,253.2,637.05
309.0,168.35,434.75,434.75,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,67.0,25.0,16.0,2.0,344.0,101.0,148.0,14.0,129.35,0.0,0.0,0.0,39.0,185.2,0.0,0.0,249.55,0.0,185.2,0.0,0.0,249.55,0.0
310.0,651.5,389.09999999999997,539.0999999999999,2.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,68.0,27.0,18.0,1.0,335.0,98.0,162.0,13.0,42.6,0.0,0.0,574.7,34.2,88.75,46.85,0.0,166.55,86.95,238.75,46.85,0.0,166.55,86.95
311.0,1700.05,447.3,447.3,2.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,75.0,27.0,8.0,1.0,338.0,118.0,162.0,14.0,0.0,47.7,0.0,52.35,1600.0,331.45,0.0,11.25,66.8,37.8,331.45,0.0,11.25,66.8,37.8
312.0,2587.45,296.65,296.65,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,65.0,16.0,11.0,4.0,361.0,126.0,165.0,9.0,0.0,1562.5,574.7,0.0,450.25,51.75,201.25,0.0,43.65,0.0,51.75,201.25,0.0,43.65,0.0
313.0,474.90000000000003,7828.2,7828.2,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,86.0,17.0,9.0,1.0,276.0,128.0,160.0,6.0,19.1,455.8,0.0,0.0,0.0,7500.0,0.0,191.95,0.0,136.25,7500.0,0.0,191.95,0.0,136.25
314.0,3101.6,378.05000000000007,378.05000000000007,1.0,2.0,2.0,0.0,7.0,1.0,0.0,0.0,63.0,16.0,21.0,1.0,367.0,122.0,154.0,11.0,1739.0,0.0,70.4,0.0,1292.2,0.0,88.8,3.05,128.1,158.1,0.0,88.8,3.05,128.1,158.1
315.0,1080.65,7601.950000000001,7601.950000000001,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,66.0,19.0,19.0,2.0,288.0,136.0,159.0,10.0,0.0,0.0,0.0,1080.65,0.0,0.0,0.0,24.5,7500.0,77.45,0.0,0.0,24.5,7500.0,77.45
316.0,1733.7,673.25,673.25,2.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,66.0,13.0,11.0,2.0,343.0,121.0,149.0,8.0,1500.0,0.0,0.0,0.0,233.7,100.4,39.1,32.5,472.15,29.1,100.4,39.1,32.5,472.15,29.1
317.0,0.0,342.6,342.6,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,77.0,26.0,2.0,0.0,335.0,124.0,168.0,16.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,121.15,0.0,146.45,75.0,0.0,121.15,0.0,146.45
318.0,129.35,7855.5,7855.5,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,62.0,34.0,17.0,0.0,379.0,114.0,169.0,8.0,0.0,0.0,129.35,0.0,0.0,191.1,117.19999999999999,47.2,0.0,7500.0,191.1,117.19999999999999,47.2,0.0,7500.0
319.0,55.95,318.35,318.35,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,71.0,29.0,13.0,1.0,329.0,118.0,159.0,8.0,0.0,0.0,0.0,0.0,55.95,0.0,94.05,50.25,174.05,0.0,0.0,94.05,50.25,174.05,0.0
320.0,992.65,204.00000000000003,204.00000000000003,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,77.0,15.0,10.0,2.0,351.0,123.0,146.0,10.0,0.0,992.65,0.0,0.0,0.0,115.25,63.8,24.95,0.0,0.0,115.25,63.8,24.95,0.0,0.0
321.0,37.9,1017.4000000000001,1017.4000000000001,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,52.0,29.0,11.0,1.0,339.0,116.0,156.0,15.0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,1017.4000000000001,0.0,0.0,0.0,0.0,1017.4000000000001,0.0,0.0
322.0,30.35,240.75,240.75,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,70.0,20.0,4.0,2.0,317.0,122.0,136.0,12.0,0.0,30.35,0.0,0.0,0.0,57.25,0.0,142.15,41.35,0.0,57.25,0.0,142.15,41.35,0.0
323.0,20.4,88.3,88.3,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,59.0,20.0,8.0,1.0,328.0,115.0,161.0,8.0,0.0,0.0,0.0,0.0,20.4,0.0,0.0,0.0,35.8,52.5,0.0,0.0,0.0,35.8,52.5
324.0,608.35,159.7,159.7,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,57.0,30.0,10.0,1.0,293.0,108.0,142.0,16.0,0.0,90.5,44.05,200.25,273.55,0.0,88.85,0.0,70.85,0.0,0.0,88.85,0.0,70.85,0.0
325.0,219.45,178.2,178.2,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,59.0,22.0,10.0,1.0,322.0,128.0,159.0,8.0,0.0,0.0,0.0,219.45,0.0,0.0,75.7,94.8,7.7,0.0,0.0,75.7,94.8,7.7,0.0
326.0,3900.7999999999997,65.4,65.4,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,75.0,19.0,13.0,1.0,325.0,119.0,149.0,9.0,1021.6,2800.0,79.2,0.0,0.0,0.0,57.25,8.15,0.0,0.0,0.0,57.25,8.15,0.0,0.0
327.0,1079.2,345.65000000000003,345.65000000000003,2.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,77.0,24.0,15.0,1.0,351.0,130.0,150.0,11.0,13.55,0.0,0.0,44.05,1021.6,37.3,278.25,30.1,0.0,0.0,37.3,278.25,30.1,0.0,0.0
328.0,2143.7000000000003,303.95,303.95,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,76.0,22.0,10.0,1.0,326.0,113.0,160.0,11.0,455.8,0.0,1687.9,0.0,0.0,51.4,189.4,0.0,0.0,63.15,51.4,189.4,0.0,0.0,63.15
329.0,3924.1000000000004,226.85,226.85,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,56.0,28.0,9.0,2.0,326.0,131.0,168.0,11.0,1080.65,0.0,165.55,2677.9,0.0,0.0,226.85,0.0,0.0,0.0,0.0,226.85,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,20.0,12.0,1.0,296.0,113.0,164.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331.0,1202.6000000000001,671.0,671.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,51.0,14.0,6.0,1.0,300.0,117.0,144.0,16.0,0.0,0.0,1182.2,0.0,20.4,96.80000000000001,0.0,0.0,0.0,574.1999999999999,96.80000000000001,0.0,0.0,0.0,574.1999999999999
332.0,88.05,836.45,836.45,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,60.0,23.0,12.0,1.0,359.0,119.0,172.0,7.0,0.0,27.25,0.0,0.0,60.8,0.0,204.25,0.0,0.0,632.2,0.0,204.25,0.0,0.0,632.2
333.0,137.95,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,22.0,9.0,1.0,351.0,117.0,163.0,9.0,0.0,0.0,100.85,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
