test_day,invest
305.0,315189.0
305.0,315194.0
305.0,315197.0
305.0,315210.0
305.0,315212.0
305.0,315213.0
305.0,315220.0
305.0,315224.0
305.0,315228.0
305.0,315230.0
305.0,315232.0
305.0,315235.0
305.0,315237.0
305.0,315238.0
305.0,315241.0
305.0,315247.0
305.0,315254.0
305.0,315255.0
305.0,315258.0
305.0,315260.0
305.0,315262.0
305.0,315268.0
305.0,315271.0
305.0,315279.0
305.0,315285.0
305.0,315288.0
305.0,315289.0
305.0,315291.0
305.0,315292.0
305.0,315293.0
305.0,315297.0
305.0,315299.0
305.0,315304.0
305.0,315309.0
305.0,315310.0
305.0,315314.0
305.0,315325.0
305.0,315326.0
305.0,315329.0
305.0,315332.0
305.0,315337.0
305.0,315339.0
305.0,315341.0
305.0,315348.0
305.0,315352.0
305.0,315355.0
305.0,315367.0
305.0,315370.0
305.0,315371.0
305.0,315372.0
305.0,315378.0
305.0,315381.0
305.0,315382.0
305.0,315384.0
305.0,315390.0
305.0,315391.0
305.0,315394.0
305.0,315398.0
305.0,315399.0
305.0,315405.0
305.0,315407.0
305.0,315410.0
305.0,315413.0
305.0,315414.0
305.0,315415.0
305.0,315417.0
305.0,315423.0
305.0,315431.0
305.0,315435.0
305.0,315436.0
305.0,315441.0
305.0,315442.0
305.0,315443.0
305.0,315444.0
305.0,315458.0
305.0,315459.0
305.0,315462.0
305.0,315472.0
305.0,315477.0
305.0,315495.0
305.0,315503.0
305.0,315505.0
305.0,315507.0
305.0,315512.0
305.0,315517.0
305.0,315518.0
305.0,315522.0
305.0,315523.0
305.0,315525.0
305.0,315529.0
305.0,315530.0
305.0,315533.0
305.0,315535.0
305.0,315558.0
305.0,315561.0
305.0,315568.0
305.0,315570.0
305.0,315575.0
305.0,315578.0
305.0,315579.0
305.0,315581.0
305.0,315586.0
305.0,315596.0
305.0,315601.0
305.0,315605.0
305.0,315611.0
305.0,315612.0
305.0,315618.0
305.0,315619.0
305.0,315621.0
305.0,315623.0
305.0,315624.0
305.0,315629.0
305.0,315634.0
305.0,315636.0
305.0,315639.0
305.0,315643.0
305.0,315644.0
305.0,315645.0
305.0,315647.0
305.0,315650.0
305.0,315654.0
305.0,315655.0
305.0,315656.0
305.0,315660.0
305.0,315672.0
305.0,315674.0
305.0,315687.0
305.0,315688.0
305.0,315689.0
305.0,315694.0
305.0,315697.0
305.0,315702.0
305.0,315705.0
305.0,315711.0
305.0,315712.0
305.0,315716.0
305.0,315726.0
305.0,315727.0
305.0,315730.0
305.0,315740.0
305.0,315742.0
305.0,315747.0
305.0,315749.0
305.0,315757.0
305.0,315759.0
305.0,315761.0
305.0,315762.0
305.0,315770.0
305.0,315771.0
305.0,315772.0
305.0,315773.0
305.0,315774.0
305.0,315777.0
305.0,315778.0
305.0,315782.0
305.0,315784.0
305.0,315786.0
305.0,315787.0
305.0,315794.0
305.0,315799.0
305.0,315807.0
305.0,315809.0
305.0,315812.0
305.0,315813.0
305.0,315818.0
305.0,315830.0
305.0,315831.0
305.0,315836.0
305.0,315837.0
305.0,315842.0
305.0,315856.0
305.0,315869.0
305.0,315880.0
305.0,315884.0
305.0,315885.0
305.0,315887.0
305.0,315896.0
305.0,315901.0
305.0,315906.0
305.0,315907.0
305.0,315908.0
305.0,315910.0
305.0,315912.0
305.0,315923.0
305.0,315929.0
305.0,315930.0
305.0,315932.0
305.0,315937.0
305.0,315940.0
305.0,315942.0
305.0,315943.0
305.0,315944.0
305.0,315947.0
305.0,315951.0
305.0,315957.0
305.0,315962.0
305.0,315965.0
305.0,315966.0
305.0,315967.0
305.0,315975.0
305.0,315977.0
305.0,315983.0
305.0,315993.0
305.0,315996.0
305.0,315998.0
305.0,316000.0
305.0,316003.0
305.0,316005.0
305.0,316007.0
305.0,316008.0
305.0,316013.0
305.0,316016.0
305.0,316026.0
305.0,316036.0
305.0,316042.0
305.0,316047.0
305.0,316054.0
305.0,316055.0
305.0,316060.0
305.0,316062.0
305.0,316065.0
305.0,316069.0
305.0,316081.0
305.0,316086.0
305.0,316091.0
305.0,316096.0
305.0,316100.0
305.0,316103.0
305.0,316105.0
305.0,316106.0
305.0,316110.0
305.0,316121.0
305.0,316124.0
305.0,316128.0
305.0,316129.0
305.0,316133.0
305.0,316134.0
305.0,316136.0
305.0,316138.0
305.0,316141.0
305.0,316144.0
305.0,316146.0
305.0,316156.0
305.0,316159.0
305.0,316165.0
305.0,316171.0
305.0,316178.0
305.0,316179.0
305.0,316181.0
305.0,316182.0
305.0,316188.0
305.0,316192.0
305.0,316193.0
305.0,316206.0
305.0,316213.0
305.0,316215.0
305.0,316216.0
305.0,316230.0
305.0,316231.0
305.0,316238.0
305.0,316243.0
305.0,316254.0
305.0,316255.0
305.0,316256.0
305.0,316258.0
305.0,316260.0
305.0,316268.0
305.0,316271.0
305.0,316276.0
305.0,316279.0
305.0,316282.0
305.0,316286.0
305.0,316287.0
305.0,316291.0
305.0,316298.0
305.0,316301.0
305.0,316303.0
305.0,316307.0
305.0,316308.0
305.0,316310.0
305.0,316315.0
305.0,316323.0
305.0,316336.0
305.0,316344.0
305.0,316345.0
305.0,316347.0
305.0,316351.0
305.0,316355.0
305.0,316361.0
305.0,316362.0
305.0,316373.0
305.0,316379.0
305.0,316380.0
305.0,316381.0
305.0,316383.0
305.0,316386.0
305.0,316390.0
305.0,316391.0
305.0,316392.0
305.0,316398.0
305.0,316401.0
305.0,316427.0
305.0,316431.0
305.0,316432.0
305.0,316435.0
305.0,316438.0
305.0,316442.0
305.0,316447.0
305.0,316451.0
305.0,316454.0
305.0,316463.0
305.0,316466.0
305.0,316475.0
305.0,316476.0
305.0,316477.0
305.0,316487.0
305.0,316492.0
305.0,316500.0
305.0,316502.0
305.0,316504.0
305.0,316515.0
305.0,316518.0
305.0,316519.0
305.0,316523.0
305.0,316526.0
305.0,316530.0
305.0,316538.0
305.0,316539.0
305.0,316550.0
305.0,316552.0
305.0,316555.0
305.0,316556.0
305.0,316558.0
305.0,316559.0
305.0,316562.0
305.0,316563.0
305.0,316570.0
305.0,316572.0
305.0,316584.0
305.0,316589.0
305.0,316614.0
305.0,316616.0
305.0,316624.0
305.0,316632.0
305.0,316635.0
305.0,316644.0
305.0,316645.0
305.0,316647.0
305.0,316653.0
305.0,316655.0
305.0,316656.0
305.0,316665.0
305.0,316677.0
305.0,316681.0
305.0,316682.0
305.0,316691.0
305.0,316692.0
305.0,316695.0
305.0,316702.0
305.0,316703.0
305.0,316704.0
305.0,316709.0
305.0,316713.0
305.0,316715.0
305.0,316718.0
305.0,316719.0
305.0,316720.0
305.0,316724.0
305.0,316725.0
305.0,316728.0
305.0,316733.0
305.0,316738.0
305.0,316745.0
305.0,316753.0
305.0,316764.0
305.0,316768.0
305.0,316769.0
305.0,316772.0
305.0,316776.0
305.0,316786.0
305.0,316789.0
305.0,316790.0
305.0,316799.0
305.0,316801.0
305.0,316806.0
305.0,316807.0
305.0,316810.0
305.0,316821.0
305.0,316823.0
305.0,316825.0
305.0,316831.0
305.0,316832.0
305.0,316834.0
305.0,316842.0
305.0,316844.0
305.0,316848.0
305.0,316853.0
305.0,316855.0
305.0,316860.0
305.0,316862.0
305.0,316863.0
305.0,316865.0
305.0,316869.0
305.0,316874.0
305.0,316876.0
