test_day,gain_value,loss_value_scams,total_loss,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg,bank_A_gain,bank_B_gain,bank_C_gain,bank_D_gain,bank_E_gain,bank_A_loss_scams,bank_B_loss_scams,bank_C_loss_scams,bank_D_loss_scams,bank_E_loss_scams,bank_A_loss_scams_ext,bank_B_loss_scams_ext,bank_C_loss_scams_ext,bank_D_loss_scams_ext,bank_E_loss_scams_ext
15.0,1110.3,86.35,86.35,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,63.0,3.0,12.0,0.0,365.0,135.0,144.0,12.0,115.25,992.65,2.4,0.0,0.0,0.0,63.8,22.55,0.0,0.0,0.0,63.8,22.55,0.0,0.0
16.0,0.0,1055.3,1055.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,53.0,5.0,6.0,3.0,338.0,140.0,161.0,13.0,0.0,0.0,0.0,0.0,0.0,37.9,0.0,1017.4000000000001,0.0,0.0,37.9,0.0,1017.4000000000001,0.0,0.0
17.0,0.0,271.09999999999997,271.09999999999997,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,60.0,6.0,10.0,0.0,327.0,136.0,130.0,14.0,0.0,0.0,0.0,0.0,0.0,57.25,30.35,142.15,41.35,0.0,57.25,30.35,142.15,41.35,0.0
18.0,20.4,88.3,88.3,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,61.0,5.0,15.0,2.0,326.0,130.0,154.0,7.0,0.0,0.0,0.0,0.0,20.4,0.0,0.0,0.0,35.8,52.5,0.0,0.0,0.0,35.8,52.5
19.0,330.9,437.15,437.15,2.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,49.0,5.0,9.0,3.0,301.0,133.0,143.0,14.0,0.0,34.55,0.0,70.85,225.5,0.0,144.8,44.05,200.25,48.05,0.0,144.8,44.05,200.25,48.05
20.0,156.9,240.74999999999997,240.74999999999997,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,54.0,5.0,19.0,0.0,327.0,145.0,150.0,9.0,0.0,75.7,81.2,0.0,0.0,0.0,0.0,13.6,227.14999999999998,0.0,0.0,0.0,13.6,227.14999999999998,0.0
21.0,3878.85,87.35000000000001,87.35000000000001,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,64.0,8.0,17.0,2.0,336.0,130.0,145.0,8.0,1021.6,2857.25,0.0,0.0,0.0,0.0,0.0,87.35000000000001,0.0,0.0,0.0,0.0,87.35000000000001,0.0,0.0
22.0,1021.6,403.25000000000006,403.25000000000006,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,73.0,4.0,19.0,0.0,355.0,150.0,146.0,12.0,0.0,0.0,0.0,0.0,1021.6,50.849999999999994,278.25,30.1,44.05,0.0,50.849999999999994,278.25,30.1,44.05,0.0
23.0,2029.65,418.0,418.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,69.0,2.0,12.0,1.0,333.0,133.0,158.0,11.0,455.8,39.95,1533.9,0.0,0.0,51.4,149.45,154.0,0.0,63.15,51.4,149.45,154.0,0.0,63.15
24.0,3857.8500000000004,293.1,293.1,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,45.0,11.0,14.0,1.0,337.0,148.0,163.0,12.0,1080.65,0.0,99.3,2677.9,0.0,0.0,226.85,66.25,0.0,0.0,0.0,226.85,66.25,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,8.0,12.0,2.0,305.0,125.0,164.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,1614.0,259.6,259.6,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,52.0,4.0,12.0,1.0,299.0,127.0,138.0,16.0,0.0,0.0,1182.2,0.0,431.79999999999995,96.80000000000001,0.0,0.0,0.0,162.8,96.80000000000001,0.0,0.0,0.0,162.8
27.0,203.5,721.0,721.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,50.0,7.0,20.0,1.0,369.0,135.0,164.0,7.0,0.0,203.5,0.0,0.0,0.0,0.0,28.0,0.0,0.0,693.0,0.0,28.0,0.0,0.0,693.0
28.0,37.1,100.85,100.85,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,49.0,14.0,14.0,0.0,359.0,125.0,158.0,10.0,0.0,0.0,0.0,37.1,0.0,0.0,0.0,100.85,0.0,0.0,0.0,0.0,100.85,0.0,0.0
