test_day,invest
0.0,7.0
0.0,28.0
0.0,39.0
0.0,104.0
0.0,108.0
0.0,123.0
0.0,124.0
0.0,187.0
0.0,210.0
0.0,356.0
0.0,415.0
0.0,443.0
0.0,481.0
0.0,593.0
0.0,621.0
0.0,626.0
0.0,637.0
0.0,639.0
0.0,641.0
0.0,654.0
0.0,660.0
0.0,668.0
0.0,761.0
0.0,836.0
0.0,846.0
0.0,862.0
0.0,935.0
0.0,955.0
0.0,991.0
0.0,1002.0
0.0,1015.0
0.0,1025.0
0.0,1054.0
0.0,1111.0
0.0,1117.0
0.0,1142.0
0.0,1188.0
0.0,1198.0
0.0,1230.0
0.0,1263.0
0.0,1340.0
0.0,1351.0
0.0,1404.0
0.0,1405.0
0.0,1432.0
0.0,1465.0
0.0,1491.0
0.0,1523.0
0.0,1543.0
0.0,1553.0
0.0,1580.0
0.0,1601.0
0.0,1614.0
0.0,1620.0
0.0,1655.0
0.0,1664.0
0.0,1699.0
0.0,1703.0
0.0,1707.0
0.0,1746.0
0.0,1771.0
0.0,1780.0
0.0,1784.0
0.0,1785.0
0.0,1787.0
0.0,1788.0
0.0,1805.0
0.0,1827.0
0.0,1930.0
0.0,1934.0
0.0,2032.0
0.0,2064.0
0.0,2079.0
0.0,2113.0
0.0,2131.0
0.0,2184.0
0.0,2210.0
0.0,2220.0
0.0,2290.0
0.0,2312.0
0.0,2375.0
0.0,2380.0
1.0,2424.0
1.0,2440.0
1.0,2466.0
1.0,2469.0
1.0,2479.0
1.0,2482.0
1.0,2485.0
1.0,2546.0
1.0,2561.0
1.0,2564.0
1.0,2608.0
1.0,2613.0
1.0,2638.0
1.0,2648.0
1.0,2655.0
1.0,2656.0
1.0,2673.0
1.0,2682.0
1.0,2688.0
1.0,2689.0
1.0,2708.0
1.0,2711.0
1.0,2748.0
1.0,2785.0
1.0,2807.0
1.0,2841.0
1.0,2850.0
1.0,2853.0
1.0,2890.0
1.0,2903.0
1.0,2916.0
1.0,2936.0
1.0,2970.0
1.0,2977.0
1.0,2990.0
1.0,2994.0
1.0,3010.0
1.0,3027.0
1.0,3035.0
1.0,3092.0
