test_day,gain_value,loss_value_scams,total_loss,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg,bank_A_gain,bank_B_gain,bank_C_gain,bank_D_gain,bank_E_gain,bank_A_loss_scams,bank_B_loss_scams,bank_C_loss_scams,bank_D_loss_scams,bank_E_loss_scams,bank_A_loss_scams_ext,bank_B_loss_scams_ext,bank_C_loss_scams_ext,bank_D_loss_scams_ext,bank_E_loss_scams_ext
0.0,736.75,681.9999999999999,681.9999999999999,9.0,1.0,1.0,0.0,4.0,1.0,2.0,0.0,63.0,15.0,2.0,0.0,686.0,259.0,653.0,8.0,0.0,291.75,421.65,0.0,23.35,97.65,0.0,188.9,181.8,213.65,97.65,0.0,188.9,181.8,213.65
1.0,84.75,276.20000000000005,276.20000000000005,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,58.0,10.0,2.0,0.0,588.0,296.0,159.0,13.0,0.0,56.0,0.0,0.0,28.75,0.0,152.05,0.0,0.0,124.15,0.0,152.05,0.0,0.0,124.15
2.0,967.3999999999999,615.4,615.4,5.0,3.0,2.0,0.0,7.0,1.0,1.0,1.0,67.0,10.0,3.0,0.0,618.0,255.0,165.0,10.0,147.4,490.45,0.0,252.15,77.4,0.0,406.79999999999995,28.15,109.7,70.75,0.0,406.79999999999995,28.15,109.7,70.75
3.0,235.70000000000002,266.75,266.75,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,53.0,13.0,3.0,0.0,469.0,195.0,169.0,8.0,0.0,0.0,0.0,187.5,48.2,71.6,0.0,0.0,138.2,56.95,71.6,0.0,0.0,138.2,56.95
4.0,187.84999999999997,419.0,419.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,52.0,1.0,5.0,0.0,334.0,143.0,160.0,6.0,0.0,88.25,99.6,0.0,0.0,104.9,0.0,265.85,48.25,0.0,104.9,0.0,265.85,48.25,0.0
5.0,1014.9499999999999,265.34999999999997,265.34999999999997,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,52.0,2.0,1.0,0.0,361.0,146.0,160.0,16.0,0.0,134.05,0.0,0.0,880.9,0.0,201.45,0.0,63.9,0.0,0.0,201.45,0.0,63.9,0.0
6.0,422.25,277.1,277.1,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,62.0,5.0,3.0,0.0,337.0,137.0,152.0,15.0,422.25,0.0,0.0,0.0,0.0,0.0,25.9,34.15,0.0,217.05,0.0,25.9,34.15,0.0,217.05
7.0,148.15,489.4,489.4,3.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,41.0,3.0,2.0,0.0,306.0,141.0,147.0,9.0,0.0,103.6,44.55,0.0,0.0,40.25,219.85000000000002,192.85,0.0,36.45,40.25,219.85000000000002,192.85,0.0,36.45
8.0,949.0,167.04999999999998,167.04999999999998,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,49.0,5.0,0.0,0.0,304.0,143.0,150.0,9.0,53.2,0.0,107.8,0.0,788.0,0.0,26.95,0.0,0.0,140.1,0.0,26.95,0.0,0.0,140.1
9.0,304.25,228.39999999999998,228.39999999999998,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,46.0,5.0,5.0,0.0,328.0,130.0,166.0,10.0,0.0,34.3,31.1,238.85,0.0,0.0,39.7,188.7,0.0,0.0,0.0,39.7,188.7,0.0,0.0
