test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
306.0,12058.95,577.45,4.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,172.0,85.0,9.0,0.0,572.0,183.0,173.0,19.0
307.0,5410.0,897.05,0.0,0.0,0.0,1.0,7.0,2.0,1.0,1.0,150.0,76.0,7.0,0.0,615.0,197.0,147.0,11.0
308.0,3460.0,461.15,0.0,0.0,3.0,0.0,6.0,2.0,0.0,0.0,80.0,48.0,7.0,0.0,507.0,144.0,149.0,12.0
309.0,469.79999999999995,283.3,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,59.0,40.0,14.0,1.0,352.0,86.0,150.0,15.0
310.0,748.85,291.75,4.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,114.0,29.0,5.0,0.0,289.0,96.0,175.0,14.0
311.0,1976.0,171.35000000000002,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,73.0,22.0,4.0,0.0,340.0,123.0,166.0,15.0
312.0,2777.3,106.8,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,71.0,18.0,9.0,0.0,355.0,124.0,167.0,13.0
313.0,7974.900000000001,328.2,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,59.0,13.0,5.0,1.0,303.0,132.0,164.0,6.0
314.0,3929.5000000000005,300.15000000000003,6.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,56.0,34.0,21.0,1.0,374.0,104.0,154.0,11.0
315.0,7524.5,1158.1000000000001,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,59.0,14.0,6.0,0.0,295.0,141.0,172.0,12.0
316.0,1795.3,611.65,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,69.0,13.0,7.0,0.0,340.0,121.0,153.0,10.0
317.0,155.15,187.45,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,82.0,24.0,8.0,1.0,330.0,126.0,162.0,15.0
318.0,8396.15,288.7,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,63.0,27.0,23.0,2.0,378.0,121.0,163.0,6.0
319.0,50.25,324.05,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,70.0,26.0,14.0,1.0,330.0,121.0,158.0,8.0
320.0,992.65,204.00000000000003,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,79.0,16.0,12.0,0.0,349.0,122.0,144.0,12.0
321.0,0.0,1055.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,58.0,21.0,11.0,2.0,333.0,124.0,156.0,14.0
322.0,123.1,148.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,77.0,17.0,9.0,0.0,310.0,125.0,131.0,14.0
323.0,31.599999999999998,77.1,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,65.0,19.0,13.0,0.0,322.0,116.0,156.0,9.0
324.0,430.9,337.15,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,60.0,26.0,13.0,2.0,290.0,112.0,139.0,15.0
325.0,156.9,240.74999999999997,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,54.0,13.0,14.0,0.0,327.0,137.0,155.0,9.0
