test_day,gain_value,loss_value_scams,total_loss,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg,bank_A_gain,bank_B_gain,bank_C_gain,bank_D_gain,bank_E_gain,bank_A_loss_scams,bank_B_loss_scams,bank_C_loss_scams,bank_D_loss_scams,bank_E_loss_scams,bank_A_loss_scams_ext,bank_B_loss_scams_ext,bank_C_loss_scams_ext,bank_D_loss_scams_ext,bank_E_loss_scams_ext
80.0,1931.35,667.7,667.7,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,57.0,9.0,21.0,1.0,337.0,146.0,168.0,9.0,0.0,1880.7,0.0,0.0,50.65,395.3,0.0,272.4,0.0,0.0,395.3,0.0,272.4,0.0,0.0
81.0,1155.4,196.29999999999998,196.29999999999998,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,62.0,1.0,18.0,1.0,314.0,119.0,153.0,13.0,0.0,0.0,899.85,0.0,255.55,4.35,191.95,0.0,0.0,0.0,4.35,191.95,0.0,0.0,0.0
82.0,837.2499999999999,550.3000000000001,550.3000000000001,2.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,40.0,10.0,22.0,1.0,365.0,128.0,156.0,8.0,0.0,0.0,31.55,43.65,762.05,0.0,163.75,32.35,188.1,166.1,0.0,163.75,32.35,188.1,166.1
83.0,502.75,269.90000000000003,269.90000000000003,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,60.0,2.0,9.0,1.0,359.0,129.0,140.0,7.0,502.75,0.0,0.0,0.0,0.0,0.0,0.0,40.15,200.3,29.45,0.0,0.0,40.15,200.3,29.45
84.0,0.0,226.85,226.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,15.0,3.0,303.0,132.0,141.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,226.85,0.0,0.0,0.0,0.0,226.85,0.0,0.0,0.0
85.0,115.45,270.0,270.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,59.0,0.0,13.0,2.0,303.0,131.0,156.0,9.0,47.0,0.0,0.0,35.45,33.0,32.25,0.0,0.0,0.0,237.75,32.25,0.0,0.0,0.0,237.75
86.0,1600.0,522.95,522.95,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,73.0,3.0,16.0,3.0,337.0,155.0,188.0,13.0,0.0,1600.0,0.0,0.0,0.0,229.9,91.55,0.0,198.55,2.95,229.9,91.55,0.0,198.55,2.95
87.0,279.15000000000003,542.35,542.35,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,53.0,3.0,15.0,2.0,340.0,131.0,160.0,12.0,30.05,201.4,0.0,47.7,0.0,242.6,243.8,0.0,0.0,55.95,242.6,243.8,0.0,0.0,55.95
88.0,1101.3,763.9,763.9,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,52.0,4.0,16.0,1.0,358.0,131.0,125.0,13.0,0.0,0.0,0.0,0.0,1101.3,0.0,344.0,240.65,0.0,179.25,0.0,344.0,240.65,0.0,179.25
89.0,31.45,116.2,116.2,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,62.0,6.0,24.0,0.0,327.0,127.0,156.0,8.0,0.0,0.0,31.45,0.0,0.0,76.05,40.15,0.0,0.0,0.0,76.05,40.15,0.0,0.0,0.0
90.0,0.0,427.4,427.4,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,60.0,5.0,13.0,1.0,336.0,133.0,152.0,9.0,0.0,0.0,0.0,0.0,0.0,115.05,232.14999999999998,23.15,0.0,57.05,115.05,232.14999999999998,23.15,0.0,57.05
91.0,1775.1,286.25,286.25,4.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,56.0,4.0,19.0,1.0,335.0,143.0,153.0,13.0,1702.45,0.0,0.0,43.55,29.1,0.0,0.0,31.25,41.65,213.35,0.0,0.0,31.25,41.65,213.35
92.0,2661.9,520.4,520.4,5.0,0.0,3.0,0.0,8.0,2.0,0.0,0.0,66.0,7.0,16.0,3.0,671.0,263.0,651.0,7.0,574.5,1008.0,43.0,31.75,1004.65,115.8,162.6,157.60000000000002,70.85,13.55,115.8,162.6,157.60000000000002,70.85,13.55
