test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
0.0,811.7500000000001,606.9999999999999,9.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,63.0,11.0,2.0,0.0,686.0,263.0,653.0,8.0
1.0,84.75,276.20000000000005,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,53.0,13.0,2.0,0.0,593.0,293.0,159.0,13.0
2.0,771.1499999999999,811.65,5.0,3.0,1.0,0.0,7.0,1.0,2.0,1.0,63.0,12.0,3.0,0.0,622.0,253.0,165.0,10.0
3.0,235.70000000000002,266.75,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,53.0,6.0,3.0,0.0,469.0,202.0,169.0,8.0
4.0,143.14999999999998,463.7,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,52.0,1.0,5.0,0.0,334.0,143.0,160.0,6.0
5.0,1014.9499999999999,265.34999999999997,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,52.0,2.0,1.0,0.0,361.0,146.0,160.0,16.0
6.0,422.25,277.1,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,62.0,5.0,3.0,0.0,337.0,137.0,152.0,15.0
7.0,148.15,489.4,3.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,41.0,3.0,2.0,0.0,306.0,141.0,147.0,9.0
8.0,949.0,167.04999999999998,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,49.0,5.0,0.0,0.0,304.0,143.0,150.0,9.0
9.0,304.25,228.39999999999998,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,46.0,5.0,5.0,0.0,328.0,130.0,166.0,10.0
10.0,336.55,85.15,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,45.0,3.0,6.0,0.0,326.0,137.0,168.0,8.0
11.0,508.35,577.4,7.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,47.0,3.0,4.0,0.0,331.0,163.0,148.0,12.0
12.0,685.3000000000001,476.25,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,55.0,2.0,4.0,0.0,336.0,108.0,139.0,7.0
13.0,84.55,582.1,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,50.0,0.0,5.0,0.0,273.0,151.0,144.0,7.0
14.0,536.65,328.25,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,62.0,1.0,1.0,0.0,312.0,142.0,167.0,9.0
15.0,60.9,458.25,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,37.0,6.0,3.0,0.0,298.0,142.0,157.0,17.0
16.0,378.15,253.95000000000002,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,66.0,6.0,3.0,0.0,304.0,125.0,154.0,9.0
17.0,989.5500000000001,223.55,2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,68.0,5.0,5.0,0.0,327.0,116.0,176.0,14.0
18.0,186.29999999999998,80.75,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,56.0,3.0,2.0,0.0,354.0,149.0,174.0,13.0
19.0,78.05000000000001,762.9,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,50.0,6.0,4.0,0.0,362.0,161.0,161.0,13.0
20.0,422.25,449.54999999999995,1.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,55.0,1.0,3.0,0.0,356.0,160.0,159.0,14.0
21.0,111.9,413.3,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,59.0,2.0,4.0,0.0,343.0,146.0,177.0,8.0
22.0,111.8,443.45000000000005,1.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,47.0,2.0,1.0,0.0,365.0,156.0,190.0,6.0
23.0,69.05000000000001,103.55,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,55.0,1.0,3.0,0.0,326.0,133.0,169.0,9.0
24.0,189.39999999999998,107.05,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,43.0,3.0,4.0,0.0,332.0,132.0,159.0,10.0
25.0,218.75,363.34999999999997,3.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,46.0,1.0,3.0,0.0,337.0,136.0,146.0,19.0
26.0,20.2,101.8,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,55.0,2.0,2.0,0.0,325.0,135.0,160.0,15.0
27.0,1149.15,401.3,5.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,53.0,1.0,3.0,0.0,299.0,130.0,175.0,9.0
28.0,1311.6000000000001,497.35,1.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,39.0,4.0,3.0,0.0,314.0,148.0,165.0,13.0
29.0,204.2,373.29999999999995,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,55.0,1.0,3.0,0.0,281.0,133.0,137.0,7.0
30.0,438.15,294.75,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,55.0,1.0,1.0,0.0,307.0,132.0,155.0,14.0
31.0,1660.45,1402.6,6.0,1.0,3.0,0.0,5.0,6.0,2.0,0.0,61.0,7.0,6.0,0.0,664.0,274.0,650.0,13.0
32.0,205.1,447.85,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,72.0,10.0,4.0,0.0,632.0,297.0,164.0,10.0
33.0,2440.2499999999995,101.7,2.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,85.0,12.0,8.0,0.0,684.0,262.0,177.0,8.0
34.0,412.55,749.6999999999999,1.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,67.0,5.0,6.0,0.0,521.0,210.0,185.0,7.0
35.0,368.3,254.35,6.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,54.0,6.0,1.0,0.0,350.0,135.0,155.0,5.0
36.0,337.9,279.79999999999995,5.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,57.0,2.0,2.0,0.0,338.0,146.0,187.0,7.0
37.0,498.7,362.1,7.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,56.0,6.0,4.0,0.0,370.0,141.0,186.0,16.0
38.0,140.0,185.3,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,3.0,4.0,0.0,349.0,177.0,186.0,14.0
39.0,308.1,137.5,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,42.0,5.0,1.0,0.0,346.0,138.0,133.0,15.0
40.0,46.75,255.3,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,47.0,3.0,1.0,0.0,317.0,125.0,162.0,11.0
41.0,218.95000000000002,226.84999999999997,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,50.0,3.0,3.0,0.0,321.0,144.0,143.0,14.0
42.0,507.45,213.10000000000002,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,52.0,3.0,5.0,0.0,341.0,147.0,173.0,10.0
43.0,99.80000000000001,47.6,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,4.0,1.0,0.0,352.0,142.0,172.0,12.0
44.0,543.35,237.3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,47.0,3.0,2.0,0.0,343.0,124.0,174.0,14.0
45.0,81.15,851.8,2.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,48.0,2.0,2.0,0.0,321.0,144.0,172.0,9.0
46.0,594.3000000000001,239.39999999999998,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,56.0,3.0,3.0,0.0,317.0,142.0,172.0,6.0
