test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
0.0,622.85,795.9,9.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,61.0,18.0,8.0,0.0,688.0,256.0,647.0,8.0
1.0,72.15,288.79999999999995,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,51.0,12.0,7.0,0.0,595.0,294.0,154.0,13.0
2.0,722.85,859.95,3.0,3.0,1.0,0.0,9.0,1.0,2.0,1.0,62.0,5.0,3.0,0.0,623.0,260.0,165.0,10.0
3.0,235.70000000000002,266.75,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,51.0,10.0,7.0,0.0,471.0,198.0,165.0,8.0
4.0,99.94999999999999,506.90000000000003,2.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,52.0,4.0,5.0,0.0,334.0,140.0,160.0,6.0
5.0,1014.9499999999999,265.34999999999997,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,52.0,3.0,3.0,0.0,361.0,145.0,158.0,16.0
6.0,422.25,277.1,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,60.0,6.0,3.0,1.0,339.0,136.0,152.0,14.0
7.0,188.4,449.15,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,45.0,4.0,3.0,0.0,302.0,140.0,146.0,9.0
8.0,949.0,167.04999999999998,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,48.0,6.0,1.0,0.0,305.0,142.0,149.0,9.0
9.0,304.25,228.39999999999998,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,45.0,6.0,6.0,1.0,329.0,129.0,165.0,9.0
10.0,336.55,85.15,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,46.0,4.0,7.0,0.0,325.0,136.0,167.0,8.0
11.0,228.25,857.5,7.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,48.0,6.0,6.0,0.0,330.0,160.0,146.0,12.0
12.0,685.3000000000001,476.25,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,51.0,3.0,4.0,0.0,340.0,107.0,139.0,7.0
13.0,84.55,582.1,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,51.0,1.0,7.0,0.0,272.0,150.0,142.0,7.0
14.0,560.55,304.35,4.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,63.0,2.0,5.0,0.0,311.0,141.0,163.0,9.0
15.0,60.9,458.25,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,35.0,7.0,3.0,0.0,300.0,141.0,157.0,17.0
16.0,378.15,253.95000000000002,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,71.0,8.0,3.0,0.0,299.0,123.0,154.0,9.0
17.0,894.5000000000001,318.59999999999997,2.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,66.0,4.0,7.0,0.0,329.0,117.0,174.0,14.0
18.0,186.29999999999998,80.75,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0,8.0,4.0,0.0,352.0,144.0,172.0,13.0
19.0,78.05000000000001,762.9,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,50.0,7.0,5.0,0.0,362.0,160.0,160.0,13.0
20.0,391.75,480.04999999999995,0.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,56.0,7.0,4.0,1.0,355.0,154.0,158.0,13.0
21.0,111.9,413.3,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,59.0,2.0,4.0,0.0,343.0,146.0,177.0,8.0
22.0,111.8,443.45000000000005,1.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,48.0,5.0,3.0,0.0,364.0,153.0,188.0,6.0
23.0,69.05000000000001,103.55,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,57.0,2.0,6.0,0.0,324.0,132.0,166.0,9.0
24.0,231.39999999999998,65.05,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,42.0,4.0,8.0,0.0,333.0,131.0,155.0,10.0
25.0,159.8,422.3,2.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,50.0,2.0,6.0,0.0,333.0,135.0,143.0,19.0
26.0,20.2,101.8,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,51.0,3.0,4.0,0.0,329.0,134.0,158.0,15.0
27.0,1107.8500000000001,442.6,4.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,53.0,3.0,5.0,0.0,299.0,128.0,173.0,9.0
28.0,1311.6000000000001,497.35,1.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,44.0,6.0,4.0,0.0,309.0,146.0,164.0,13.0
29.0,430.35,147.15,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,58.0,3.0,4.0,0.0,278.0,131.0,136.0,7.0
30.0,438.15,294.75,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,59.0,3.0,4.0,1.0,303.0,130.0,152.0,13.0
31.0,1725.8999999999999,1337.1499999999999,5.0,2.0,3.0,0.0,6.0,5.0,2.0,0.0,68.0,9.0,17.0,0.0,657.0,272.0,639.0,13.0
32.0,175.25,477.70000000000005,5.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,74.0,15.0,4.0,0.0,630.0,292.0,164.0,10.0
33.0,2440.2499999999995,101.7,2.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,73.0,7.0,11.0,0.0,696.0,267.0,174.0,8.0
34.0,412.55,749.6999999999999,1.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,66.0,10.0,8.0,0.0,522.0,205.0,183.0,7.0
