test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
0.0,12150.45,1018.2500000000001,1.0,0.0,5.0,0.0,5.0,4.0,1.0,1.0,83.0,26.0,17.0,0.0,698.0,245.0,664.0,13.0
1.0,6636.700000000001,609.7,4.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,76.0,20.0,18.0,1.0,668.0,248.0,164.0,18.0
2.0,1655.8000000000002,741.2499999999999,3.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,66.0,12.0,19.0,2.0,699.0,261.0,135.0,9.0
3.0,2998.8499999999995,522.3,2.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,49.0,6.0,17.0,2.0,538.0,186.0,139.0,10.0
4.0,353.54999999999995,249.55,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,61.0,5.0,10.0,3.0,350.0,121.0,154.0,13.0
5.0,946.6,244.0,5.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,67.0,4.0,23.0,4.0,336.0,121.0,157.0,10.0
6.0,1766.85,380.5,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,64.0,5.0,16.0,2.0,349.0,140.0,154.0,13.0
7.0,2631.1,253.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,58.0,3.0,12.0,1.0,368.0,139.0,164.0,12.0
8.0,7955.8,347.3,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,47.0,2.0,13.0,1.0,315.0,143.0,156.0,6.0
9.0,3051.4,428.24999999999994,3.0,1.0,2.0,0.0,5.0,2.0,0.0,0.0,65.0,5.0,20.0,2.0,365.0,133.0,155.0,10.0
10.0,8605.15,77.45,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,52.0,4.0,11.0,0.0,302.0,151.0,167.0,12.0
11.0,1570.75,836.2,2.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,61.0,1.0,4.0,0.0,348.0,133.0,156.0,10.0
12.0,47.0,295.6,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,64.0,6.0,17.0,2.0,348.0,144.0,153.0,14.0
13.0,7696.15,288.7,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,63.0,2.0,20.0,4.0,378.0,146.0,166.0,4.0
14.0,50.25,324.05,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,62.0,4.0,19.0,1.0,338.0,143.0,153.0,8.0
15.0,1107.9,88.75,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,63.0,3.0,12.0,0.0,365.0,135.0,144.0,12.0
16.0,138.8,916.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,53.0,5.0,6.0,3.0,338.0,140.0,161.0,13.0
17.0,0.0,271.09999999999997,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,60.0,6.0,10.0,0.0,327.0,136.0,130.0,14.0
18.0,31.599999999999998,77.1,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,61.0,5.0,15.0,2.0,326.0,130.0,154.0,7.0
