;index;transaction_id;description;Amount;category;date;month;customer_id;type;In_or_Out;bank_to;bank_from;transac_prob;description_prob;priority;home_bank;customer_prob;is_scam_transaction;fraud_type;case_id;interbank;day_of_month;weight_bank;weight_priority;weight_category;weight_day;transac_prob_weight;description_prob_weight;customer_prob_weight;prediction;to_investigate;chosen;cash_inv;ext_investigator;net_gain
0;360967;475078;Car Loan Payment - Auto Finance Inc.;300.7;Loan Payment;2024-12-31;December;10003;spending;paid_out;bank_C;bank_A;0.69;0.28;3;bank_A;0.46;0.0;;;1;31;1.5635019273921968e-09;2.1626832798048924e-09;0.0014869299935781682;0.0005317143595208686;7.873301780153911e-10;0.002886186527011125;0.0016920547659675042;0.0066;0.0;-0.0;0.0;0.0;0.0
1;360968;475079;Walmart Grocery;59.74;Groceries;2024-12-31;December;10025;spending;paid_out;bank_C;bank_A;0.39;0.53;1;bank_A;0.43;0.0;;;1;31;1.5635019273921968e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;4.450127093130472e-10;0.0054631387832710585;0.0015817033681870148;0.0076;0.0;-0.0;0.0;0.0;0.0
2;360969;475080;Monthly Service Fee - Bank Account;10.94;Bank Fees;2024-12-31;December;10025;spending;paid_out;bank_B;bank_A;0.14;0.69;1;bank_A;0.43;0.0;;;1;31;1.5635019273921968e-09;1.4582620672969162e-09;0.00845497589725443;0.0005317143595208686;1.597481520610939e-10;0.007112388227277415;0.0015817033681870148;0.0177;0.0;-0.0;0.0;0.0;0.0
3;360970;475081;Transfer to Vacation Fund;346.19;Transfers;2024-12-31;December;10131;spending;paid_out;bank_D;bank_A;0.52;0.4;3;bank_A;0.3;0.0;;;1;31;1.5635019273921968e-09;2.1626832798048924e-09;8.76103921326134e-08;0.0005317143595208686;5.933502790840629e-10;0.004123123610015893;0.0011035139778048939;0.0058;0.0;-0.0;0.0;0.0;0.0
4;360971;475082;Transfer to Vacation Fund;399.65;Transfers;2024-12-31;December;10131;spending;paid_out;bank_B;bank_A;0.66;0.61;3;bank_A;0.3;0.0;;;1;31;1.5635019273921968e-09;2.1626832798048924e-09;8.76103921326134e-08;0.0005317143595208686;7.530984311451569e-10;0.0062877635052742365;0.0011035139778048939;0.0079;0.0;-0.0;0.0;0.0;0.0
5;360972;475083;Monthly Service Fee - Account Maintenance;10.91;Bank Fees;2024-12-31;December;10131;spending;paid_out;bank_E;bank_A;0.22;0.53;1;bank_A;0.3;0.0;;;1;31;1.5635019273921968e-09;1.4582620672969162e-09;0.00845497589725443;0.0005317143595208686;2.5103281038171895e-10;0.0054631387832710585;0.0011035139778048939;0.0156;0.0;-0.0;0.0;0.0;0.0
6;360973;475085;Monthly Account Maintenance Fee;8.94;Bank Fees;2024-12-31;December;10206;spending;paid_out;bank_B;bank_B;0.29;0.22;1;bank_B;0.54;0.0;;;0;31;3.340206885552361e-09;1.4582620672969162e-09;0.00845497589725443;0.0005317143595208686;3.3090688641226586e-10;0.002267717985508741;0.0019863251600488094;0.0132;0.0;-0.0;-0.0;-0.0;0.0
7;360974;475086;Center Parcs;507.65;Holiday;2024-12-31;December;10206;spending;paid_out;bank_D;bank_B;0.7;0.64;3;bank_B;0.54;0.0;;;1;31;3.340206885552361e-09;2.1626832798048924e-09;0.09441163101815048;0.0005317143595208686;7.987407603054693e-10;0.006596997776025428;0.0019863251600488094;0.1035;1.0;1.0;0.0;0.0;-0.0
8;360975;475087;Fast Food - Lunch Combo;14.03;Dining Out;2024-12-31;December;10206;spending;paid_out;bank_A;bank_B;0.27;0.28;1;bank_B;0.54;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;3.853158937934411e-09;0.0005317143595208686;3.0808572183210965e-10;0.002886186527011125;0.0019863251600488094;0.0054;0.0;-0.0;0.0;0.0;0.0
9;360976;475089;Home Depot - Home Improvement;86.1;Home Improvement;2024-12-31;December;10210;spending;paid_out;bank_E;bank_D;0.41;0.24;2;bank_D;0.62;0.0;;;1;31;4.011498757672601e-09;1.948926352415131e-09;1.1059120955511165e-08;0.0005317143595208686;4.678338738932034e-10;0.0024738741660095356;0.0022805955541301145;0.0053;0.0;-0.0;0.0;0.0;0.0
